Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,7: Sunday (Su-Su),12: 11am (11am-12noon),98,1652,1652,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),216,1525,1525,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,7: Sunday (Su-Su),14: 1pm (1pm-2pm),70,984,984,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),54,1195,1195,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,7: Sunday (Su-Su),16: 3pm (3pm-4pm),117,958,958,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,7: Sunday (Su-Su),17: 4pm (4pm-5pm),65,1499,1499,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,7: Sunday (Su-Su),18: 5pm (5pm-6pm),79,692,692,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),45,1085,1085,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,7: Sunday (Su-Su),20: 7pm (7pm-8pm),17,594,594,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Inverse Parking Lot,no,N/A,no,7: Sunday (Su-Su),21: 8pm (8pm-9pm),8,272,272,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),1152,1201,1201,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),01: 12am (12am-1am),3,2005,2005,2.0,2.0
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),3,161,161,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),53,431,431,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),42,936,936,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),46,789,789,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),1,311,311,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),8,889,889,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),47,1062,1062,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),71,1344,1344,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),140,1280,1280,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),133,1640,1640,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),120,1412,1412,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),126,1305,1305,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),117,1120,1120,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),87,1022,1022,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip End,,Inverse Parking Lot,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),52,967,967,0.4,0.4
