Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),35,1665,1665,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),26,1242,1242,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),26,3112,3112,0.8,0.8
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),8,822,822,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),22: 9pm (9pm-10pm),8,1801,1801,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),00: All Day (12am-12am),1143,2041,2041,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),05: 4am (4am-5am),34,1177,1177,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),06: 5am (5am-6am),37,1898,1898,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),07: 6am (6am-7am),9,1228,1228,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),10: 9am (9am-10am),26,3202,3202,1.1,1.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),11: 10am (10am-11am),120,1945,1945,0.8,0.8
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),12: 11am (11am-12noon),223,2035,2035,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),117,2302,2302,1.2,1.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),178,2016,2016,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),97,2161,2161,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),80,3060,3060,1.4,1.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),107,1593,1593,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),44,1562,1562,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),26,1672,1672,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),44,1707,1707,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),00: All Day (12am-12am),1510,1829,1829,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),05: 4am (4am-5am),10,1534,1534,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),06: 5am (5am-6am),10,92,92,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),07: 6am (6am-7am),27,1044,1044,0.9,0.9
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),08: 7am (7am-8am),9,1208,1208,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),09: 8am (8am-9am),10,1470,1470,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),10: 9am (9am-10am),104,1391,1391,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),11: 10am (10am-11am),225,1800,1800,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),12: 11am (11am-12noon),225,1902,1902,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),13: 12pm (12noon-1pm),240,2453,2453,0.9,0.9
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),14: 1pm (1pm-2pm),85,3157,3157,1.1,1.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),15: 2pm (2pm-3pm),176,1266,1266,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),16: 3pm (3pm-4pm),179,1725,1725,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),17: 4pm (4pm-5pm),93,1334,1334,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),18: 5pm (5pm-6pm),55,1645,1645,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),19: 6pm (6pm-7pm),27,1478,1478,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),20: 7pm (7pm-8pm),37,2001,2001,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),00: All Day (12am-12am),1462,1635,1635,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),04: 3am (3am-4am),8,71,71,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),05: 4am (4am-5am),8,522,522,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),06: 5am (5am-6am),26,1534,1534,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),07: 6am (6am-7am),64,1064,1064,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),09: 8am (8am-9am),52,3199,3199,2.1,2.1
