Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),24,1167,1167,4.0,4.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),23: 10pm (10pm-11pm),8,0,3178,0,16.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),00: All Day (12am-12am),3353,2541,2557,14.0,13.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),04: 3am (3am-4am),88,1419,1610,8.0,10.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),05: 4am (4am-5am),200,2358,2358,16.4,16.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),06: 5am (5am-6am),48,2795,2795,26.2,26.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),07: 6am (6am-7am),96,2019,2019,12.5,12.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),08: 7am (7am-8am),120,2642,2642,15.3,15.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),09: 8am (8am-9am),256,2807,2859,16.2,16.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),10: 9am (9am-10am),272,2582,2582,15.5,15.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),11: 10am (10am-11am),256,2151,2164,9.7,9.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),12: 11am (11am-12noon),216,2115,2263,8.4,9.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),13: 12pm (12noon-1pm),216,4077,3952,31.8,29.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),14: 1pm (1pm-2pm),312,2545,2705,11.8,11.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),15: 2pm (2pm-3pm),264,2092,2035,8.9,8.6
