Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),132,0.134,0.141,0.139,0.174,0.131,0.102,0.047,0.064,0.068,0.117,0.251,0.261,0.230,0.141,0.858,0.040,0.004,0.058,0.002,0.022,0.016,0.095,0.313,0.687,0.135,0.252,0.020,0.290,0.690
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),211,0.131,0.143,0.122,0.170,0.131,0.096,0.056,0.079,0.072,0.100,0.293,0.251,0.219,0.137,0.900,0.022,0.003,0.036,0.000,0.023,0.016,0.075,0.367,0.633,0.151,0.282,0.000,0.152,0.848
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),297,0.131,0.128,0.124,0.172,0.134,0.101,0.059,0.065,0.086,0.085,0.293,0.256,0.215,0.151,0.881,0.039,0.003,0.049,0.001,0.014,0.013,0.047,0.342,0.658,0.135,0.276,0.015,0.089,0.896
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),314,0.124,0.117,0.116,0.184,0.133,0.093,0.070,0.075,0.088,0.088,0.260,0.248,0.235,0.169,0.872,0.030,0.003,0.057,0.000,0.020,0.018,0.062,0.346,0.654,0.143,0.266,0.010,0.135,0.855
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),225,0.124,0.127,0.109,0.166,0.142,0.105,0.061,0.078,0.088,0.070,0.270,0.265,0.233,0.162,0.890,0.039,0.003,0.039,0.000,0.016,0.013,0.057,0.336,0.664,0.130,0.262,0.000,0.047,0.953
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),249,0.141,0.127,0.130,0.177,0.140,0.107,0.051,0.067,0.060,0.088,0.303,0.268,0.212,0.129,0.905,0.021,0.004,0.046,0.000,0.011,0.013,0.033,0.339,0.661,0.132,0.266,0.000,0.133,0.867
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),246,0.113,0.114,0.108,0.161,0.124,0.113,0.071,0.096,0.100,0.075,0.243,0.239,0.247,0.196,0.893,0.029,0.002,0.049,0.000,0.011,0.016,0.042,0.372,0.628,0.135,0.304,0.000,0.030,0.970
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),156,0.127,0.116,0.127,0.196,0.151,0.091,0.051,0.066,0.075,0.099,0.282,0.263,0.205,0.151,0.855,0.036,0.004,0.056,0.000,0.028,0.021,0.078,0.332,0.668,0.122,0.268,0.000,0.077,0.923
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),124,0.113,0.120,0.100,0.164,0.146,0.106,0.046,0.093,0.112,0.092,0.234,0.237,0.261,0.176,0.786,0.049,0.006,0.099,0.000,0.037,0.023,0.078,0.343,0.657,0.131,0.274,0.000,0.106,0.894
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),191,0.118,0.123,0.105,0.173,0.138,0.098,0.073,0.076,0.096,0.078,0.276,0.248,0.245,0.153,0.887,0.022,0.003,0.064,0.000,0.009,0.015,0.030,0.365,0.635,0.145,0.292,0.000,0.230,0.770
