,Year,Month,Day,DOW,Day Part,Count
354,2019.0,MAY,15.0,Wed,5:00,6.0
355,2019.0,MAY,15.0,Wed,6:00,4.0
356,2019.0,MAY,15.0,Wed,7:00,0.0
357,2019.0,MAY,15.0,Wed,8:00,2.0
358,2019.0,MAY,15.0,Wed,9:00,12.0
359,2019.0,MAY,15.0,Wed,10:00,23.0
360,2019.0,MAY,15.0,Wed,11:00,44.0
361,2019.0,MAY,15.0,Wed,12:00,50.0
362,2019.0,MAY,15.0,Wed,13:00,55.0
363,2019.0,MAY,15.0,Wed,14:00,46.0
364,2019.0,MAY,15.0,Wed,15:00,54.0
365,2019.0,MAY,15.0,Wed,16:00,40.0
366,2019.0,MAY,15.0,Wed,17:00,36.0
367,2019.0,MAY,15.0,Wed,18:00,14.0
368,2019.0,MAY,15.0,Wed,19:00,13.0
369,2019.0,MAY,15.0,Wed,20:00,16.0
370,2019.0,MAY,15.0,Wed,21:00,4.0
371,2019.0,MAY,15.0,Wed,22:00,1.0
372,2019.0,MAY,15.0,Wed,23:00,0.0
373,2019.0,MAY,15.0,Wed,24:00,0.0
374,2019.0,MAY,15.0,Wed,Total,422.0
375,2019.0,MAY,16.0,Thurs,1:00,1.0
376,2019.0,MAY,16.0,Thurs,2:00,0.0
377,2019.0,MAY,16.0,Thurs,3:00,0.0
378,2019.0,MAY,16.0,Thurs,4:00,6.0
379,2019.0,MAY,16.0,Thurs,5:00,60.0
380,2019.0,MAY,16.0,Thurs,6:00,7.0
381,2019.0,MAY,16.0,Thurs,7:00,2.0
382,2019.0,MAY,16.0,Thurs,8:00,11.0
383,2019.0,MAY,16.0,Thurs,9:00,33.0
384,2019.0,MAY,16.0,Thurs,10:00,63.0
385,2019.0,MAY,16.0,Thurs,11:00,89.0
386,2019.0,MAY,16.0,Thurs,12:00,59.0
387,2019.0,MAY,16.0,Thurs,13:00,65.0
388,2019.0,MAY,16.0,Thurs,14:00,75.0
389,2019.0,MAY,16.0,Thurs,15:00,56.0
390,2019.0,MAY,16.0,Thurs,16:00,46.0
391,2019.0,MAY,16.0,Thurs,17:00,38.0
392,2019.0,MAY,16.0,Thurs,18:00,32.0
393,2019.0,MAY,16.0,Thurs,19:00,26.0
394,2019.0,MAY,16.0,Thurs,20:00,29.0
395,2019.0,MAY,16.0,Thurs,21:00,4.0
396,2019.0,MAY,16.0,Thurs,22:00,1.0
397,2019.0,MAY,16.0,Thurs,23:00,0.0
398,2019.0,MAY,16.0,Thurs,24:00,0.0
399,2019.0,MAY,16.0,Thurs,Total,703.0
400,2019.0,MAY,17.0,Fri,1:00,2.0
401,2019.0,MAY,17.0,Fri,2:00,0.0
402,2019.0,MAY,17.0,Fri,3:00,0.0
403,2019.0,MAY,17.0,Fri,4:00,5.0
404,2019.0,MAY,17.0,Fri,5:00,47.0
405,2019.0,MAY,17.0,Fri,6:00,1.0
406,2019.0,MAY,17.0,Fri,7:00,3.0
407,2019.0,MAY,17.0,Fri,8:00,7.0
408,2019.0,MAY,17.0,Fri,9:00,20.0
409,2019.0,MAY,17.0,Fri,10:00,35.0
