Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),16,2398,2234,5.2,5.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),24,2865,2865,13.8,13.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),48,2015,1903,8.3,7.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),12,2623,2623,13.6,13.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),31,2574,2574,10.2,10.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),6,4126,4126,6.3,6.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),21,2965,2965,15.7,15.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),36,2183,2183,7.3,7.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),00: All Day (12am-12am),284,3275,3255,20.3,20.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),07: 6am (6am-7am),16,1957,1957,6.8,6.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),08: 7am (7am-8am),7,2832,2832,9.9,9.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),11: 10am (10am-11am),19,2350,2350,11.4,11.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),12: 11am (11am-12noon),17,2312,1829,9.1,6.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),5,3148,3148,7.8,7.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),45,3582,3324,19.9,18.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),7,0,6463,0,39.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),16,2033,2033,6.1,6.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),21,3753,3753,14.6,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),51,2622,2424,9.3,10.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),8,1488,1488,1.5,1.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),51,2554,2554,13.6,13.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),11,6608,5888,55.1,41.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,4: Thursday (Th-Th),22: 9pm (9pm-10pm),11,17524,17524,267.8,267.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),00: All Day (12am-12am),343,3723,3737,29.8,28.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),06: 5am (5am-6am),9,1432,1432,4.8,4.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),07: 6am (6am-7am),15,2286,3956,10.3,14.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),08: 7am (7am-8am),11,4823,4823,35.3,35.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,5: Friday (F-F),09: 8am (8am-9am),6,1468,1468,4.0,4.0
