Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5+ mi (percent),Trip Speed 0-1 mph (percent),Trip Speed 1-2 mph (percent),Trip Speed 2-3 mph (percent),Trip Speed 3-4 mph (percent),Trip Speed 4-5 mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),14: 1pm (1pm-2pm),173,1298,1298,0.4,0.4,1,1,2.277,0.210,0.053,0.211,0.158,0.105,0.105,0.105,0.000,0.000,0.000,0.000,0.000,0.053,0.894,0.053,0.053,0.000,0.000,0.000,0.474,0.368,0.158,0.000,0.000,0.632,0.263,0.000,0.000,0.000,0.105
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),15: 2pm (2pm-3pm),141,1311,1311,0.5,0.5,1,1,7.287,0.125,0.188,0.249,0.125,0.125,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0.125,0.874,0.063,0.063,0.000,0.000,0.000,0.375,0.500,0.063,0.063,0.000,0.500,0.250,0.000,0.000,0.000,0.250
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),16: 3pm (3pm-4pm),165,992,992,0.3,0.3,1,1,3.424,0.053,0.158,0.368,0.105,0.158,0.105,0.000,0.000,0.000,0.053,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.474,0.474,0.053,0.000,0.000,0.369,0.263,0.105,0.105,0.000,0.158
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),17: 4pm (4pm-5pm),126,1399,1399,0.5,0.5,1,1,9.831,0.215,0.000,0.143,0.143,0.000,0.214,0.000,0.143,0.071,0.000,0.071,0.000,0.000,0.929,0.000,0.000,0.071,0.000,0.000,0.429,0.357,0.143,0.000,0.071,0.430,0.214,0.071,0.071,0.143,0.071
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),18: 5pm (5pm-6pm),87,1008,1008,0.3,0.3,2,2,3.608,0.100,0.300,0.200,0.100,0.000,0.000,0.200,0.100,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.100,0.000,0.100,0.400,0.100,0.100,0.100,0.100,0.200
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),19: 6pm (6pm-7pm),61,1026,1026,0.2,0.2,1,1,3.514,0.143,0.000,0.428,0.000,0.286,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.571,0.286,0.000,0.143,0.000,0.428,0.429,0.000,0.000,0.000,0.143
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),20: 7pm (7pm-8pm),86,1826,1826,0.3,0.3,1,1,4.623,0.000,0.100,0.200,0.300,0.100,0.100,0.000,0.000,0.100,0.000,0.000,0.000,0.100,1.000,0.000,0.000,0.000,0.000,0.000,0.700,0.300,0.000,0.000,0.000,0.700,0.000,0.100,0.000,0.100,0.100
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),21: 8pm (8pm-9pm),18,2362,2362,0.1,0.1,1,1,5.559,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),22: 9pm (9pm-10pm),9,1260,1260,0.1,0.1,0,0,1.849,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),23: 10pm (10pm-11pm),9,1417,1417,0.1,0.1,0,0,2.903,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),1824,1234,1234,0.4,0.4,1,1,8.431,0.154,0.139,0.178,0.130,0.130,0.082,0.058,0.024,0.019,0.010,0.024,0.014,0.038,0.962,0.005,0.014,0.014,0.005,0.000,0.495,0.346,0.115,0.034,0.010,0.458,0.192,0.120,0.014,0.038,0.178
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),04: 3am (3am-4am),17,753,753,0.1,0.1,1,1,2.132,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),61,407,407,0.1,0.1,2,2,4.808,0.571,0.143,0.143,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.143,0.286,0.429,0.143,0.000,0.714,0.143,0.000,0.000,0.000,0.143
