Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),05: 4am (4am-5am),36,158,158,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),06: 5am (5am-6am),48,646,646,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),07: 6am (6am-7am),36,231,231,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),08: 7am (7am-8am),28,1021,1021,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),09: 8am (8am-9am),19,2191,2191,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),10: 9am (9am-10am),150,1630,1630,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),11: 10am (10am-11am),168,1102,1102,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),12: 11am (11am-12noon),179,1189,1189,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),13: 12pm (12noon-1pm),222,1051,1051,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),14: 1pm (1pm-2pm),186,1022,1022,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),15: 2pm (2pm-3pm),243,1058,1058,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),16: 3pm (3pm-4pm),132,1843,1843,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),17: 4pm (4pm-5pm),75,764,764,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),18: 5pm (5pm-6pm),103,1159,1159,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),19: 6pm (6pm-7pm),94,1069,1069,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),20: 7pm (7pm-8pm),46,1937,1937,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),00: All Day (12am-12am),1507,1245,1245,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),04: 3am (3am-4am),8,71,71,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),05: 4am (4am-5am),44,1033,1033,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),06: 5am (5am-6am),37,2828,2828,1.1,1.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),07: 6am (6am-7am),82,1801,1801,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),08: 7am (7am-8am),18,396,396,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),09: 8am (8am-9am),45,1330,1330,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),10: 9am (9am-10am),125,1216,1216,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),69,1186,1186,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),166,1035,1035,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),216,1571,1571,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),123,1751,1751,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),118,786,786,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),97,1005,1005,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),157,968,968,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),63,1017,1017,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),19: 6pm (6pm-7pm),69,1370,1370,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),20: 7pm (7pm-8pm),36,958,958,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),21: 8pm (8pm-9pm),19,995,995,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,6: Saturday (Sa-Sa),22: 9pm (9pm-10pm),8,136,136,0.1,0.1
