Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),385,2675,2776,14.2,14.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),390,3244,3177,22.2,20.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),348,2697,2728,13.7,13.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),334,2529,2807,12.3,13.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),288,2502,2461,13.7,13.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),213,2180,2183,9.6,9.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),212,2777,2887,20.7,19.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),19: 6pm (6pm-7pm),168,2245,2337,10.7,11.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),20: 7pm (7pm-8pm),97,2019,2129,9.2,10.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),21: 8pm (8pm-9pm),24,2462,2656,19.6,19.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),22: 9pm (9pm-10pm),33,1900,2100,11.9,12.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),23: 10pm (10pm-11pm),2,2306,2306,13.7,13.7
