Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),12: 11am (11am-12noon),227,0.112,0.109,0.108,0.174,0.132,0.097,0.072,0.082,0.114,0.077,0.246,0.238,0.246,0.193,0.885,0.041,0.004,0.047,0.000,0.010,0.013,0.039,0.356,0.644,0.144,0.281,0.000,0.024,0.976
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),13: 12pm (12noon-1pm),234,0.119,0.122,0.117,0.177,0.139,0.102,0.061,0.082,0.081,0.076,0.248,0.248,0.235,0.193,0.883,0.031,0.007,0.046,0.001,0.016,0.016,0.049,0.338,0.662,0.137,0.265,0.000,0.028,0.972
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),14: 1pm (1pm-2pm),250,0.120,0.119,0.111,0.173,0.140,0.107,0.069,0.080,0.081,0.081,0.252,0.250,0.248,0.169,0.845,0.051,0.003,0.068,0.001,0.014,0.018,0.059,0.371,0.629,0.169,0.275,0.000,0.045,0.955
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),15: 2pm (2pm-3pm),232,0.117,0.112,0.115,0.180,0.121,0.111,0.075,0.080,0.089,0.089,0.250,0.242,0.245,0.174,0.859,0.035,0.002,0.074,0.000,0.013,0.017,0.049,0.339,0.661,0.135,0.272,0.000,0.125,0.875
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),16: 3pm (3pm-4pm),294,0.143,0.126,0.114,0.174,0.125,0.097,0.058,0.074,0.089,0.083,0.266,0.246,0.242,0.163,0.887,0.033,0.003,0.050,0.000,0.011,0.016,0.039,0.367,0.633,0.142,0.293,0.000,0.174,0.826
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),17: 4pm (4pm-5pm),230,0.122,0.116,0.114,0.182,0.144,0.108,0.065,0.065,0.084,0.066,0.237,0.261,0.256,0.180,0.885,0.045,0.002,0.033,0.000,0.016,0.019,0.053,0.325,0.675,0.139,0.248,0.013,0.201,0.786
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),18: 5pm (5pm-6pm),160,0.155,0.123,0.119,0.174,0.138,0.103,0.057,0.058,0.073,0.083,0.240,0.250,0.253,0.174,0.879,0.033,0.003,0.044,0.001,0.016,0.024,0.046,0.296,0.704,0.123,0.229,0.000,0.118,0.882
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),19: 6pm (6pm-7pm),229,0.143,0.128,0.112,0.188,0.137,0.100,0.056,0.061,0.075,0.086,0.278,0.247,0.224,0.165,0.881,0.027,0.002,0.055,0.000,0.017,0.018,0.064,0.293,0.707,0.116,0.230,0.000,0.263,0.737
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),20: 7pm (7pm-8pm),137,0.126,0.115,0.096,0.177,0.165,0.100,0.072,0.070,0.079,0.076,0.256,0.248,0.245,0.175,0.854,0.037,0.001,0.069,0.001,0.015,0.023,0.043,0.362,0.638,0.144,0.274,0.000,0.328,0.672
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),21: 8pm (8pm-9pm),139,0.112,0.117,0.110,0.155,0.130,0.116,0.072,0.095,0.093,0.065,0.252,0.259,0.253,0.171,0.875,0.029,0.002,0.057,0.000,0.022,0.015,0.071,0.386,0.614,0.144,0.313,0.000,0.318,0.682
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),22: 9pm (9pm-10pm),11,0.118,0.103,0.099,0.101,0.159,0.134,0.076,0.069,0.141,0.072,0.238,0.166,0.268,0.256,0.824,0.026,0.009,0.087,0.000,0.029,0.025,0.101,0.373,0.627,0.121,0.316,0.000,0.268,0.732
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),23: 10pm (10pm-11pm),4,0.041,0.100,0.098,0.199,0.163,0.148,0.133,0.095,0.023,0.071,0.232,0.309,0.220,0.168,0.604,0.359,0.000,0.026,0.000,0.009,0.002,0.020,0.389,0.611,0.125,0.370,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),24: 11pm (11pm-12am),5,0.054,0.077,0.069,0.127,0.140,0.078,0.060,0.119,0.276,0.036,0.093,0.144,0.360,0.367,0.901,0.017,0.000,0.055,0.000,0.010,0.017,0.038,0.449,0.551,0.149,0.383,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),3353,0.125,0.118,0.115,0.175,0.135,0.102,0.064,0.073,0.093,0.083,0.252,0.245,0.242,0.178,0.856,0.045,0.003,0.058,0.001,0.018,0.019,0.059,0.347,0.653,0.136,0.273,0.001,0.133,0.866
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),11,0.148,0.120,0.096,0.216,0.115,0.096,0.084,0.069,0.056,0.079,0.281,0.288,0.221,0.131,0.878,0.032,0.005,0.037,0.001,0.016,0.031,0.161,0.350,0.650,0.154,0.290,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),200,0.148,0.118,0.131,0.164,0.141,0.099,0.062,0.068,0.069,0.085,0.261,0.246,0.240,0.168,0.870,0.030,0.002,0.066,0.000,0.015,0.017,0.046,0.335,0.665,0.135,0.258,0.000,0.305,0.695
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),07: 6am (6am-7am),120,0.122,0.095,0.102,0.152,0.131,0.106,0.075,0.095,0.122,0.062,0.215,0.242,0.263,0.218,0.902,0.027,0.002,0.043,0.000,0.011,0.015,0.051,0.380,0.620,0.149,0.302,0.000,0.154,0.846
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),08: 7am (7am-8am),102,0.144,0.130,0.095,0.160,0.134,0.109,0.067,0.085,0.076,0.100,0.226,0.235,0.260,0.179,0.777,0.106,0.002,0.068,0.002,0.023,0.022,0.050,0.356,0.644,0.116,0.287,0.000,0.190,0.810
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),09: 8am (8am-9am),96,0.119,0.112,0.117,0.191,0.137,0.108,0.077,0.066,0.073,0.080,0.246,0.283,0.223,0.168,0.821,0.069,0.003,0.062,0.001,0.027,0.017,0.084,0.363,0.637,0.158,0.278,0.000,0.039,0.961
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),168,0.140,0.138,0.134,0.188,0.128,0.082,0.054,0.062,0.074,0.085,0.282,0.270,0.203,0.160,0.854,0.068,0.002,0.048,0.000,0.008,0.020,0.035,0.345,0.655,0.127,0.282,0.000,0.068,0.932
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),248,0.127,0.119,0.120,0.174,0.143,0.107,0.067,0.068,0.075,0.081,0.269,0.270,0.224,0.156,0.891,0.040,0.002,0.037,0.000,0.011,0.019,0.037,0.326,0.674,0.122,0.258,0.000,0.036,0.964
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),259,0.127,0.110,0.118,0.175,0.143,0.105,0.063,0.073,0.086,0.087,0.251,0.252,0.241,0.169,0.859,0.041,0.002,0.054,0.001,0.023,0.020,0.076,0.343,0.657,0.130,0.270,0.000,0.032,0.968
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),316,0.122,0.119,0.112,0.174,0.135,0.105,0.071,0.075,0.087,0.080,0.252,0.252,0.245,0.171,0.879,0.033,0.003,0.048,0.001,0.018,0.018,0.058,0.334,0.666,0.137,0.261,0.000,0.045,0.955
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),296,0.128,0.119,0.117,0.185,0.132,0.095,0.066,0.076,0.082,0.082,0.258,0.251,0.241,0.168,0.891,0.032,0.002,0.046,0.000,0.013,0.016,0.049,0.322,0.678,0.119,0.258,0.000,0.109,0.891
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),306,0.115,0.116,0.115,0.182,0.141,0.110,0.066,0.070,0.085,0.078,0.252,0.240,0.258,0.172,0.846,0.051,0.004,0.064,0.001,0.015,0.019,0.055,0.361,0.639,0.146,0.282,0.000,0.071,0.929
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),275,0.121,0.132,0.114,0.168,0.132,0.091,0.055,0.075,0.112,0.090,0.263,0.220,0.239,0.188,0.856,0.046,0.003,0.062,0.000,0.015,0.018,0.052,0.357,0.643,0.142,0.281,0.000,0.125,0.875
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),252,0.141,0.135,0.105,0.172,0.122,0.099,0.061,0.066,0.099,0.082,0.266,0.249,0.233,0.170,0.852,0.047,0.004,0.061,0.001,0.018,0.017,0.061,0.343,0.657,0.127,0.271,0.000,0.155,0.845
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),163,0.087,0.092,0.119,0.180,0.132,0.125,0.063,0.073,0.129,0.070,0.226,0.233,0.275,0.196,0.884,0.029,0.003,0.047,0.000,0.015,0.022,0.063,0.404,0.596,0.178,0.315,0.000,0.193,0.807
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),234,0.122,0.115,0.113,0.173,0.131,0.108,0.056,0.075,0.107,0.087,0.212,0.222,0.259,0.220,0.794,0.065,0.004,0.079,0.000,0.036,0.022,0.100,0.308,0.692,0.133,0.233,0.007,0.121,0.872
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),126,0.146,0.131,0.123,0.166,0.135,0.085,0.067,0.056,0.091,0.115,0.261,0.241,0.213,0.170,0.844,0.027,0.003,0.081,0.000,0.026,0.019,0.092,0.365,0.635,0.141,0.291,0.000,0.290,0.710
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),160,0.102,0.099,0.112,0.162,0.144,0.105,0.065,0.091,0.120,0.074,0.240,0.232,0.257,0.197,0.854,0.045,0.002,0.068,0.000,0.014,0.017,0.047,0.369,0.631,0.138,0.295,0.000,0.319,0.681
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),22: 9pm (9pm-10pm),10,0.137,0.151,0.104,0.146,0.118,0.137,0.051,0.062,0.094,0.122,0.253,0.267,0.191,0.167,0.939,0.011,0.000,0.033,0.001,0.007,0.009,0.034,0.328,0.672,0.113,0.265,0.000,0.644,0.356
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,2: Tuesday (Tu-Tu),23: 10pm (10pm-11pm),11,0.064,0.090,0.077,0.161,0.125,0.091,0.070,0.170,0.152,0.037,0.210,0.283,0.248,0.222,0.813,0.017,0.000,0.148,0.000,0.020,0.002,0.044,0.443,0.557,0.117,0.399,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),00: All Day (12am-12am),3453,0.130,0.119,0.117,0.170,0.134,0.101,0.065,0.076,0.088,0.086,0.253,0.246,0.242,0.173,0.862,0.045,0.003,0.054,0.001,0.016,0.019,0.054,0.337,0.663,0.134,0.266,0.000,0.138,0.862
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),05: 4am (4am-5am),11,0.025,0.073,0.061,0.080,0.174,0.144,0.099,0.152,0.192,0.035,0.163,0.220,0.309,0.273,0.898,0.012,0.000,0.063,0.002,0.003,0.022,0.035,0.398,0.602,0.145,0.326,0.000,0.367,0.633
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),06: 5am (5am-6am),200,0.141,0.104,0.110,0.163,0.135,0.099,0.066,0.082,0.100,0.080,0.247,0.226,0.257,0.190,0.863,0.036,0.002,0.075,0.000,0.007,0.017,0.037,0.342,0.658,0.130,0.275,0.000,0.225,0.775
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),07: 6am (6am-7am),160,0.102,0.107,0.108,0.145,0.126,0.107,0.062,0.093,0.150,0.068,0.180,0.206,0.287,0.259,0.841,0.057,0.002,0.070,0.000,0.012,0.018,0.050,0.313,0.687,0.122,0.252,0.000,0.224,0.776
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),08: 7am (7am-8am),102,0.098,0.119,0.102,0.175,0.134,0.110,0.069,0.099,0.094,0.061,0.227,0.243,0.271,0.198,0.826,0.066,0.004,0.060,0.003,0.019,0.022,0.065,0.341,0.659,0.143,0.269,0.000,0.238,0.762
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),09: 8am (8am-9am),83,0.150,0.129,0.126,0.152,0.147,0.094,0.063,0.073,0.066,0.076,0.255,0.242,0.251,0.176,0.893,0.050,0.005,0.026,0.000,0.014,0.012,0.047,0.327,0.673,0.157,0.239,0.000,0.147,0.853
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),10: 9am (9am-10am),209,0.123,0.123,0.110,0.182,0.138,0.104,0.072,0.067,0.081,0.080,0.281,0.252,0.232,0.155,0.885,0.032,0.007,0.046,0.000,0.013,0.017,0.042,0.359,0.641,0.135,0.288,0.000,0.072,0.928
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),11: 10am (10am-11am),278,0.142,0.117,0.127,0.172,0.133,0.094,0.068,0.064,0.083,0.097,0.269,0.248,0.221,0.165,0.884,0.039,0.004,0.040,0.000,0.013,0.020,0.047,0.321,0.679,0.132,0.247,0.000,0.098,0.902
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),12: 11am (11am-12noon),295,0.123,0.121,0.118,0.162,0.135,0.102,0.068,0.076,0.095,0.092,0.231,0.241,0.257,0.179,0.899,0.026,0.003,0.041,0.001,0.015,0.015,0.056,0.340,0.660,0.133,0.269,0.000,0.078,0.922
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),290,0.133,0.129,0.123,0.187,0.126,0.100,0.062,0.065,0.075,0.089,0.286,0.255,0.221,0.149,0.839,0.054,0.003,0.063,0.002,0.017,0.022,0.060,0.332,0.668,0.129,0.263,0.000,0.029,0.971
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),262,0.155,0.125,0.115,0.183,0.139,0.086,0.059,0.069,0.069,0.106,0.268,0.228,0.222,0.176,0.859,0.038,0.003,0.057,0.000,0.020,0.023,0.066,0.293,0.707,0.125,0.226,0.000,0.036,0.964
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),293,0.135,0.116,0.126,0.173,0.124,0.104,0.062,0.076,0.084,0.089,0.256,0.249,0.241,0.165,0.857,0.047,0.004,0.054,0.000,0.022,0.016,0.064,0.338,0.662,0.124,0.267,0.000,0.051,0.949
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),344,0.125,0.120,0.121,0.174,0.133,0.099,0.063,0.075,0.090,0.090,0.255,0.250,0.248,0.157,0.877,0.040,0.002,0.047,0.000,0.017,0.017,0.046,0.328,0.672,0.127,0.266,0.000,0.080,0.920
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),227,0.146,0.117,0.110,0.176,0.128,0.098,0.056,0.082,0.087,0.085,0.257,0.248,0.235,0.175,0.843,0.054,0.002,0.060,0.000,0.019,0.022,0.064,0.338,0.662,0.138,0.264,0.000,0.133,0.867
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),218,0.129,0.127,0.117,0.165,0.135,0.106,0.066,0.078,0.077,0.092,0.248,0.273,0.234,0.153,0.853,0.056,0.006,0.047,0.001,0.017,0.020,0.052,0.384,0.616,0.165,0.294,0.000,0.147,0.853
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),143,0.128,0.116,0.113,0.172,0.138,0.099,0.066,0.077,0.091,0.074,0.233,0.254,0.252,0.187,0.871,0.039,0.003,0.057,0.000,0.012,0.018,0.044,0.334,0.666,0.123,0.274,0.000,0.183,0.817
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),125,0.107,0.103,0.105,0.157,0.160,0.109,0.084,0.082,0.093,0.074,0.270,0.258,0.239,0.159,0.879,0.066,0.001,0.033,0.000,0.007,0.014,0.046,0.351,0.649,0.133,0.282,0.000,0.230,0.770
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),172,0.129,0.120,0.123,0.173,0.139,0.107,0.069,0.067,0.073,0.085,0.257,0.264,0.233,0.161,0.844,0.039,0.002,0.067,0.000,0.023,0.025,0.063,0.369,0.631,0.153,0.285,0.000,0.453,0.547
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),22: 9pm (9pm-10pm),23,0.094,0.094,0.114,0.190,0.132,0.117,0.073,0.102,0.084,0.052,0.212,0.291,0.240,0.205,0.846,0.058,0.000,0.053,0.000,0.023,0.020,0.071,0.321,0.679,0.116,0.262,0.000,0.487,0.513
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,3: Wednesday (W-W),23: 10pm (10pm-11pm),18,0.120,0.141,0.115,0.178,0.141,0.075,0.065,0.081,0.084,0.055,0.214,0.224,0.290,0.217,0.768,0.123,0.002,0.083,0.000,0.005,0.019,0.028,0.289,0.711,0.149,0.202,0.000,0.520,0.480
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),00: All Day (12am-12am),2917,0.125,0.118,0.114,0.174,0.135,0.100,0.068,0.075,0.091,0.084,0.254,0.247,0.244,0.171,0.851,0.050,0.004,0.058,0.001,0.017,0.019,0.058,0.347,0.653,0.139,0.274,0.001,0.133,0.866
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),01: 12am (12am-1am),2,0.110,0.065,0.169,0.166,0.150,0.120,0.078,0.106,0.036,0.052,0.299,0.286,0.265,0.098,0.930,0.007,0.000,0.009,0.000,0.003,0.051,0.031,0.285,0.715,0.084,0.269,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),05: 4am (4am-5am),25,0.176,0.119,0.217,0.134,0.134,0.086,0.039,0.088,0.007,0.098,0.403,0.246,0.143,0.110,0.949,0.006,0.001,0.027,0.000,0.005,0.012,0.040,0.290,0.710,0.131,0.234,0.000,0.100,0.900
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),06: 5am (5am-6am),146,0.126,0.100,0.097,0.170,0.146,0.102,0.068,0.082,0.109,0.071,0.246,0.262,0.241,0.180,0.893,0.028,0.002,0.051,0.000,0.010,0.016,0.042,0.348,0.652,0.128,0.281,0.000,0.311,0.689
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),07: 6am (6am-7am),100,0.115,0.102,0.120,0.186,0.126,0.113,0.072,0.077,0.089,0.075,0.276,0.236,0.247,0.166,0.830,0.067,0.002,0.057,0.000,0.022,0.022,0.076,0.346,0.654,0.151,0.259,0.000,0.128,0.872
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),08: 7am (7am-8am),82,0.126,0.118,0.118,0.174,0.134,0.107,0.071,0.087,0.065,0.081,0.246,0.255,0.237,0.181,0.880,0.035,0.002,0.058,0.000,0.013,0.012,0.043,0.330,0.670,0.131,0.256,0.000,0.208,0.792
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),09: 8am (8am-9am),83,0.169,0.131,0.130,0.156,0.132,0.090,0.064,0.063,0.065,0.091,0.290,0.239,0.225,0.155,0.808,0.079,0.009,0.062,0.001,0.019,0.022,0.068,0.324,0.676,0.126,0.252,0.000,0.028,0.972
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),10: 9am (9am-10am),126,0.117,0.095,0.112,0.183,0.117,0.092,0.094,0.092,0.098,0.075,0.208,0.221,0.268,0.228,0.835,0.053,0.004,0.067,0.000,0.021,0.020,0.085,0.335,0.665,0.142,0.256,0.000,0.030,0.970
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),11: 10am (10am-11am),234,0.125,0.124,0.109,0.176,0.126,0.093,0.067,0.077,0.103,0.087,0.233,0.259,0.241,0.180,0.852,0.045,0.002,0.062,0.000,0.021,0.018,0.069,0.341,0.659,0.137,0.264,0.000,0.028,0.972
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),12: 11am (11am-12noon),211,0.119,0.111,0.116,0.168,0.156,0.092,0.066,0.075,0.097,0.076,0.240,0.255,0.260,0.169,0.867,0.030,0.002,0.066,0.000,0.016,0.019,0.054,0.349,0.651,0.149,0.275,0.000,0.031,0.969
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),236,0.113,0.131,0.109,0.174,0.137,0.098,0.072,0.076,0.090,0.071,0.251,0.255,0.263,0.160,0.877,0.038,0.003,0.044,0.001,0.018,0.019,0.048,0.354,0.646,0.148,0.273,0.013,0.075,0.912
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),300,0.137,0.128,0.120,0.187,0.132,0.097,0.058,0.060,0.081,0.101,0.251,0.245,0.237,0.166,0.838,0.058,0.002,0.065,0.000,0.019,0.018,0.059,0.325,0.675,0.132,0.259,0.000,0.068,0.932
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),294,0.127,0.113,0.118,0.184,0.134,0.106,0.067,0.070,0.081,0.091,0.271,0.255,0.222,0.161,0.874,0.040,0.005,0.046,0.001,0.015,0.019,0.058,0.334,0.666,0.138,0.262,0.000,0.097,0.903
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),257,0.144,0.148,0.115,0.170,0.128,0.099,0.060,0.065,0.071,0.107,0.279,0.254,0.221,0.139,0.841,0.072,0.005,0.050,0.000,0.015,0.017,0.059,0.367,0.633,0.146,0.288,0.003,0.153,0.844
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),196,0.098,0.107,0.118,0.158,0.150,0.100,0.082,0.088,0.099,0.068,0.260,0.243,0.243,0.186,0.875,0.036,0.011,0.045,0.001,0.014,0.018,0.048,0.403,0.597,0.154,0.330,0.000,0.116,0.884
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),171,0.119,0.109,0.110,0.174,0.139,0.103,0.073,0.071,0.102,0.073,0.237,0.235,0.262,0.193,0.873,0.035,0.002,0.058,0.000,0.014,0.018,0.056,0.363,0.637,0.147,0.292,0.000,0.058,0.942
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),144,0.113,0.119,0.110,0.188,0.130,0.107,0.070,0.076,0.087,0.081,0.259,0.257,0.243,0.160,0.790,0.117,0.002,0.042,0.002,0.023,0.024,0.066,0.364,0.636,0.138,0.291,0.000,0.188,0.812
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),151,0.112,0.113,0.108,0.176,0.143,0.109,0.062,0.075,0.102,0.085,0.250,0.247,0.259,0.159,0.835,0.038,0.003,0.076,0.000,0.030,0.018,0.070,0.354,0.646,0.128,0.288,0.000,0.273,0.727
