Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),22: 9pm (9pm-10pm),7,0.150,0.092,0.121,0.249,0.171,0.084,0.059,0.048,0.026,0.221,0.282,0.232,0.146,0.119,0.800,0.046,0.005,0.019,0.001,0.108,0.021,0.178,0.355,0.645,0.114,0.307,0.000,0.308,0.692
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),23: 10pm (10pm-11pm),2,0.049,0.078,0.075,0.099,0.125,0.089,0.063,0.161,0.261,0.055,0.173,0.181,0.395,0.196,0.911,0.027,0.000,0.038,0.000,0.021,0.003,0.014,0.479,0.521,0.150,0.449,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),24: 11pm (11pm-12am),2,0.548,0.213,0.058,0.041,0.075,0.053,0.012,0.000,0.000,0.049,0.151,0.172,0.382,0.246,0.811,0.032,0.002,0.083,0.000,0.038,0.034,0.111,0.117,0.883,0.071,0.098,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),4061,0.124,0.118,0.115,0.173,0.136,0.103,0.064,0.075,0.092,0.084,0.253,0.247,0.240,0.176,0.858,0.043,0.003,0.057,0.001,0.019,0.019,0.060,0.348,0.652,0.136,0.274,0.004,0.165,0.831
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),04: 3am (3am-4am),98,0.170,0.133,0.124,0.174,0.137,0.092,0.058,0.054,0.058,0.101,0.276,0.249,0.208,0.166,0.850,0.034,0.003,0.066,0.001,0.023,0.023,0.080,0.313,0.687,0.130,0.245,0.000,0.276,0.724
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),188,0.119,0.100,0.121,0.148,0.132,0.102,0.073,0.090,0.115,0.070,0.224,0.231,0.271,0.204,0.862,0.035,0.002,0.066,0.000,0.017,0.018,0.054,0.366,0.634,0.140,0.291,0.000,0.313,0.687
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),127,0.119,0.105,0.103,0.167,0.140,0.107,0.067,0.088,0.104,0.070,0.213,0.249,0.260,0.208,0.848,0.062,0.002,0.048,0.002,0.019,0.019,0.052,0.383,0.617,0.138,0.304,0.000,0.161,0.839
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),07: 6am (6am-7am),90,0.118,0.104,0.085,0.157,0.137,0.122,0.076,0.091,0.110,0.063,0.250,0.246,0.258,0.183,0.875,0.040,0.001,0.054,0.000,0.010,0.020,0.047,0.380,0.620,0.130,0.306,0.000,0.137,0.863
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),08: 7am (7am-8am),145,0.115,0.127,0.123,0.194,0.131,0.103,0.063,0.073,0.071,0.093,0.279,0.268,0.208,0.152,0.871,0.050,0.002,0.041,0.000,0.015,0.021,0.050,0.357,0.643,0.150,0.277,0.000,0.294,0.706
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),09: 8am (8am-9am),239,0.118,0.115,0.120,0.183,0.131,0.104,0.065,0.082,0.082,0.071,0.264,0.265,0.229,0.171,0.865,0.050,0.002,0.054,0.000,0.013,0.016,0.042,0.349,0.651,0.132,0.281,0.000,0.316,0.684
