Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),796,2885,3006,15.9,16.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),442,2995,3088,18.5,18.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,0: All Days (M-Su),5: Late PM (7pm-12am),130,2896,2961,16.5,16.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,1: Weekday (M-Th),0: All Day (12am-12am),1447,2710,2821,14.8,15.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,1: Weekday (M-Th),1: Early AM (12am-6am),76,2230,2286,11.7,12.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),145,2642,2764,13.4,13.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),718,2734,2861,14.4,15.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),388,2811,2919,16.7,17.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),121,2802,2883,15.0,15.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2116,3083,3172,19.0,19.2
