,Month,Year,Avg Trip Time (min),Average of temp,Average of feels_like,Average of temp_min,Average of temp_max,Average of pressure,Average of humidity,Sum of rain_1h,Average of wind_speed,Average of wind_gust,is_summer,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
61,8.0,20.0,29.29444444626667,64.45244444444445,64.25959999999999,60.71613333333333,68.11855555555556,1014.2755555555557,77.58,4.738666666666666,4.3917111111111105,0.0,1,0,0,0,0,1,0,0
62,8.0,20.0,23.271428570714285,66.07185714285714,66.11142857142856,61.72142857142857,70.30157142857144,1013.3285714285714,79.05714285714285,0.03571428571428571,6.0908571428571445,0.0,1,0,0,0,0,0,1,0
63,8.0,20.0,29.746153846923082,66.93326923076923,66.5873076923077,62.9098076923077,70.94307692307693,1014.3846153846154,68.38461538461539,0.0,6.139423076923078,0.0,1,0,0,0,1,0,0,0
64,9.0,20.0,30.06428571328572,58.80057142857142,58.34864285714286,54.9345,62.725,1022.2928571428572,78.58571428571429,0.29714285714285715,7.997999999999999,0.0,0,0,0,0,0,0,0,1
65,9.0,20.0,19.914814814777777,59.055777777777784,58.07562962962964,55.53607407407407,62.813222222222215,1020.0333333333333,75.13703703703703,0.38666666666666666,7.23825925925926,0.0,0,1,0,0,0,0,0,0
66,9.0,20.0,9.952380952,60.20928571428571,59.801095238095236,56.65876190476191,64.3175238095238,1014.0142857142857,82.35238095238097,1.82,9.532809523809524,0.0,0,0,1,0,0,0,0,0
67,9.0,20.0,44.58888888822223,64.5573888888889,64.4885,61.175888888888885,67.69394444444444,1014.5833333333334,80.36111111111111,0.4633333333333333,8.011111111111111,0.0,0,0,0,1,0,0,0,0
68,9.0,20.0,23.766666666923076,54.55019230769232,52.99076923076923,50.7775,58.63730769230769,1021.9615384615385,71.07692307692308,0.0,5.117884615384615,0.0,0,0,0,0,0,1,0,0
69,9.0,20.0,24.1416666675,55.265625,53.98374999999999,51.094166666666666,59.23833333333334,1023.5416666666666,76.60416666666667,0.0,5.2093750000000005,0.0,0,0,0,0,0,0,1,0
70,9.0,20.0,25.722222222166668,56.82458333333333,55.50541666666666,54.02291666666667,59.79916666666666,1016.4583333333334,74.54166666666667,0.023333333333333334,7.670833333333334,0.9133333333333334,0,0,0,0,1,0,0,0
71,10.0,20.0,28.766666667874997,41.1328125,37.697500000000005,37.28125,45.275625,1028.15625,82.71875,0.015,6.229374999999999,0.0,0,0,0,0,0,0,0,1
72,10.0,20.0,15.383333332833333,46.45116666666667,44.66908333333333,42.392,50.337999999999994,1022.1166666666667,89.10833333333333,0.32166666666666666,4.920666666666667,0.0,0,1,0,0,0,0,0,0
73,10.0,20.0,26.425000001166666,48.7295,47.022166666666664,46.85608333333334,50.87975,1014.8916666666668,83.20833333333333,1.3383333333333332,4.709416666666667,0.0,0,0,1,0,0,0,0,0
74,10.0,20.0,27.331481481888886,52.63333333333334,51.200222222222216,49.559777777777775,55.55422222222222,1013.0666666666665,75.77777777777777,0.027777777777777776,9.386666666666667,0.0,0,0,0,1,0,0,0,0
75,10.0,20.0,21.803846153615385,49.08580952380952,46.89592307692309,46.629014652014654,51.4658315018315,1017.048717948718,81.80549450549451,2.3953846153846152,6.958186813186813,1.9705531135531138,0,0,0,0,0,1,0,0
76,10.0,20.0,29.201388889166665,46.448333333333345,43.77375,43.00062500000001,49.71958333333334,1024.5208333333333,72.875,0.04750000000000001,6.412916666666668,0.35874999999999996,0,0,0,0,0,0,1,0
77,10.0,20.0,25.628333334399997,49.214000000000006,46.8226,46.906400000000005,51.849000000000004,1017.4199999999998,73.6,0.088,6.3528,0.7998000000000001,0,0,0,0,1,0,0,0
78,5.0,21.0,27.058333335,53.202666666666666,51.19316666666668,49.21577777777778,56.518111111111104,1018.4833333333332,67.21666666666665,2.055,6.253777777777778,8.447666666666667,0,0,0,0,0,0,0,1
79,5.0,21.0,14.7194444435,51.71291666666667,49.79333333333333,48.35458333333333,55.31208333333334,1016.0416666666666,72.29166666666667,0.3383333333333334,8.21875,14.125694444444443,0,1,0,0,0,0,0,0
80,5.0,21.0,19.89523809428572,52.35142857142857,50.015571428571434,49.26264285714286,56.068999999999996,1014.35,71.29285714285714,0.6514285714285715,7.995499999999999,10.590357142857142,0,0,1,0,0,0,0,0
81,5.0,21.0,22.663888886666665,55.73708333333334,53.96583333333333,51.37833333333334,59.717083333333335,1016.3333333333334,72.20833333333333,0.12999999999999998,7.217500000000001,9.44763888888889,0,0,0,1,0,0,0,0
82,5.0,21.0,21.978787877545454,48.38400000000001,45.01490909090909,45.41163636363636,51.66599999999999,1014.8727272727273,75.10909090909092,0.6754545454545455,9.010545454545456,9.356696969696971,0,0,0,0,0,1,0,0
83,5.0,21.0,28.612500000375,50.606,48.1125,47.14475,54.18625,1014.0250000000001,72.325,0.07375,7.227250000000001,11.150541666666669,0,0,0,0,0,0,1,0
84,5.0,21.0,10.868518517777778,48.397777777777776,45.74333333333334,45.0875,51.46194444444445,1021.0555555555555,65.75,0.0,6.564444444444444,7.897777777777778,0,0,0,0,1,0,0,0
85,6.0,21.0,27.008974357692303,66.31057692307692,66.82749999999999,60.96230769230769,71.78365384615385,1013.4807692307693,81.61538461538461,0.0,10.12576923076923,6.374615384615385,1,0,0,0,0,0,0,1
86,6.0,21.0,27.70476190428571,67.42516666666667,68.53540476190476,63.50090476190475,71.57438095238095,1012.2023809523807,83.33809523809525,0.7571428571428571,8.385380952380954,9.728928571428572,1,1,0,0,0,0,0,0
87,6.0,21.0,28.611111110200007,66.15053333333334,66.28424444444445,62.7487111111111,69.42333333333333,1012.6444444444445,74.4488888888889,6.852,8.4612,13.782000000000002,1,0,1,0,0,0,0,0
88,6.0,21.0,31.8125000001875,59.5284375,58.276250000000005,55.462656249999995,63.271874999999994,1018.96875,65.421875,0.018125,7.351875,11.321614583333332,1,0,0,1,0,0,0,0
89,6.0,21.0,40.71666666692307,59.97115384615384,59.71442307692307,55.980576923076924,63.93634615384615,1013.2307692307693,85.26923076923077,0.08538461538461538,8.623076923076923,9.060256410256411,1,0,0,0,0,1,0,0
90,6.0,21.0,34.622222221133335,68.54283333333333,68.71283333333332,63.55283333333333,73.3995,1011.65,76.31666666666666,0.09133333333333334,10.965333333333332,9.256,1,0,0,0,0,0,1,0
91,6.0,21.0,35.418518517777784,56.888333333333335,56.32083333333334,53.2575,60.83416666666666,1018.6944444444445,84.88888888888889,0.03666666666666667,4.281666666666667,6.538888888888888,1,0,0,0,1,0,0,0
92,7.0,21.0,25.386458331875,62.84240625,62.8264375,59.141593750000006,66.21615625000001,1015.85,86.590625,0.19,4.663625,7.148020833333333,1,0,0,0,0,0,0,1
93,7.0,21.0,29.43235294058823,65.69308823529411,65.95529411764706,61.90220588235293,69.61926470588236,1015.2352941176471,83.63235294117646,0.0,5.321911764705883,5.941666666666667,1,1,0,0,0,0,0,0
94,7.0,21.0,27.263541665875007,64.55390625000001,64.49718749999998,61.562031250000004,67.8765625,1014.9375,80.578125,0.5449999999999999,4.8120312499999995,8.113802083333333,1,0,1,0,0,0,0,0
95,7.0,21.0,28.316666665882355,64.5674117647059,64.39529411764704,61.26694117647059,68.11635294117647,1015.2941176470588,77.56470588235295,0.20588235294117646,6.572117647058823,9.502872549019607,1,0,0,1,0,0,0,0
96,7.0,21.0,29.684523809785713,62.61442857142857,62.23371428571428,59.710428571428565,65.54985714285715,1014.6714285714285,77.84285714285716,0.03142857142857143,6.113714285714286,10.58177380952381,1,0,0,0,0,1,0,0
97,7.0,21.0,25.258974359923076,59.87203846153846,59.68276923076923,56.933346153846145,63.18242307692307,1015.623076923077,87.71153846153847,3.7338461538461543,4.587384615384615,8.197500000000002,1,0,0,0,0,0,1,0
98,7.0,21.0,26.054761905,62.21890476190476,62.28664285714285,59.21678571428571,65.48554761904761,1012.6738095238096,88.20000000000002,4.984999999999999,6.167190476190476,9.767035714285713,1,0,0,0,1,0,0,0
99,8.0,21.0,26.750000000466667,64.11764444444444,64.14762222222221,60.88791111111111,67.849,1017.2866666666666,83.35333333333332,0.15933333333333335,5.021577777777778,7.338877777777778,1,0,0,0,0,0,0,1
100,8.0,21.0,25.856249999562504,66.029125,66.30333333333334,62.102875000000004,70.33402083333334,1015.7895833333333,85.21249999999999,0.03875,4.621958333333333,6.764687500000001,1,1,0,0,0,0,0,0
101,8.0,21.0,33.732291666875,66.91468749999999,67.64015624999999,63.10874999999999,71.02312500000001,1019.28125,87.5,0.273125,4.2703125,3.5303125000000004,1,0,1,0,0,0,0,0
102,8.0,21.0,31.037777777799995,67.17046666666666,67.86296666666667,63.00008888888888,71.8929111111111,1018.1355555555555,88.05,4.620666666666668,3.513244444444444,4.593533333333332,1,0,0,1,0,0,0,0
103,8.0,21.0,29.556666667133335,66.47583333333333,66.63499999999999,62.05349999999999,70.90316666666668,1018.8833333333333,81.41666666666667,0.0,3.741333333333333,5.766777777777778,1,0,0,0,0,1,0,0
104,8.0,21.0,28.3187499995625,64.226125,64.11787500000001,60.804020833333325,67.58487500000001,1018.6354166666665,80.47916666666667,0.133125,5.131145833333333,8.09253125,1,0,0,0,0,0,1,0
105,8.0,21.0,25.273958333750006,71.45135416666665,72.84097916666666,67.46833333333333,75.55211458333332,1014.9739583333333,82.97916666666667,0.550625,5.027593750000001,8.828593750000001,1,0,0,0,1,0,0,0
106,9.0,21.0,22.53222222113333,59.86356666666667,59.19806666666667,56.87900000000001,62.8774,1014.2366666666666,77.80333333333333,0.5366666666666667,6.809266666666667,11.264188888888889,0,0,0,0,0,0,0,1
107,9.0,21.0,31.429166666999993,58.372916666666676,57.68416666666666,54.84291666666666,61.70875,1016.9791666666666,80.27083333333333,0.085,6.208333333333333,10.28548611111111,0,1,0,0,0,0,0,0
108,9.0,21.0,26.909090908454548,60.09675757575758,59.62715151515151,57.19436363636365,63.21266666666667,1015.3818181818183,81.35151515151516,0.04,7.391303030303029,12.658833333333332,0,0,1,0,0,0,0,0
109,9.0,21.0,30.458333333571428,59.78971428571429,59.5752380952381,57.44421428571429,62.39028571428572,1014.7261904761905,86.4547619047619,7.214285714285714,7.335452380952382,13.824630952380955,0,0,0,1,0,0,0,0
110,9.0,21.0,29.91363636454545,60.969090909090916,60.72563636363636,58.486863636363644,63.54595454545454,1016.3045454545455,84.23636363636363,1.309090909090909,7.349772727272727,11.459333333333333,0,0,0,0,0,1,0,0
111,9.0,21.0,22.893939395090907,60.203818181818185,59.783545454545454,57.451,63.008772727272714,1013.4090909090909,82.35909090909091,1.2627272727272727,7.8465,11.612621212121212,0,0,0,0,0,0,1,0
112,9.0,21.0,21.587878786636363,61.86086363636364,61.7310909090909,58.920590909090905,64.75913636363637,1016.0227272727273,84.76363636363637,7.928181818181819,7.016454545454547,11.22239393939394,0,0,0,0,1,0,0,0
113,10.0,21.0,25.785185184444444,50.19888888888889,48.16166666666667,46.548333333333325,53.576388888888886,1016.9166666666666,76.47222222222223,0.11222222222222222,5.516944444444444,8.028796296296296,0,0,0,0,0,0,0,1
114,10.0,21.0,16.693939393363635,51.28409090909092,49.057272727272725,47.92113636363636,54.852500000000006,1015.9090909090909,79.77272727272727,0.3400000000000001,5.462272727272727,10.086666666666666,0,1,0,0,0,0,0,0
115,10.0,21.0,22.75151515090909,50.7675,47.88863636363636,47.55863636363636,54.39545454545455,1014.6590909090909,82.63636363636364,1.0227272727272727,6.851363636363636,12.241439393939395,0,0,1,0,0,0,0,0
116,10.0,21.0,27.78181818245454,54.149318181818174,52.188636363636355,50.181590909090914,57.86568181818181,1016.3636363636364,78.38636363636364,0.0,7.7106818181818175,11.727121212121212,0,0,0,1,0,0,0,0
117,10.0,21.0,31.48205128384615,51.525487179487186,49.83894871794872,48.70292307692307,54.65035897435898,1017.0128205128203,81.17435897435897,0.7823076923076921,6.73451282051282,10.404807692307692,0,0,0,0,0,1,0,0
118,10.0,21.0,35.19305555525,52.36017857142857,50.74186507936508,49.75926587301587,54.80578571428571,1010.5059523809523,83.49246031746031,13.579166666666666,8.271837301587299,14.54759722222222,0,0,0,0,0,0,1,0
119,10.0,21.0,31.460256412307693,52.314205128205124,50.53720512820512,49.51205128205129,55.09407692307692,1015.3384615384614,84.37948717948719,0.23384615384615384,7.1482820512820515,11.071461538461538,0,0,0,0,1,0,0,0
