,Day Type,Day Part,Avg Trip Time (min),Month,Year,Month.1,Day,Time,Check_Flag,Average of temp,Average of feels_like,Average of temp_min,Average of temp_max,Average of pressure,Average of humidity,Sum of rain_1h,Average of wind_speed,Average of wind_gust
67,5: Friday (F-F),00: All Day (12am-12am),30.73333333,May,19.0,5.0,5.0,-1.0,1955-1,46.59770992,44.44778626,44.46229008,49.26610687,1013.381679,80.50381679,44.91,4.85648855,8.991160714
68,5: Friday (F-F),15: 2pm (2pm-3pm),8.033333333,May,19.0,5.0,5.0,14.0,195514,47.34166666666667,44.873333333333335,44.879999999999995,50.48833333333332,1011.8333333333334,81.33333333333333,1.97,4.666666666666667,11.004999999999999
69,5: Friday (F-F),17: 4pm (4pm-5pm),53.43333333,May,19.0,5.0,5.0,16.0,195516,48.74399999999999,45.348,46.13399999999999,51.718,1013.4,76.6,1.52,7.802,13.002
70,0: All Days (M-Su),00: All Day (12am-12am),20.68333333,May,20.0,5.0,0.0,-1.0,2050-1,49.968872366790606,46.91802973977701,46.163754646840275,54.4079925650557,1013.9219330855019,70.40272614622057,247.17999999999998,10.064337050805438,0.05023778071334214
71,0: All Days (M-Su),05: 4am (4am-5am),64.7,May,20.0,5.0,0.0,4.0,20504,46.31555555555556,43.85194444444445,43.25888888888889,50.18166666666668,1014.8333333333334,81.69444444444444,25.16,7.518888888888889,0.0
72,0: All Days (M-Su),13: 12pm (12noon-1pm),99.81666667,May,20.0,5.0,0.0,12.0,205012,48.27545454545454,44.83454545454546,45.594242424242424,51.34969696969698,1014.1515151515151,73.78787878787878,3.7,10.356666666666666,0.0
73,0: All Days (M-Su),16: 3pm (3pm-4pm),20.68333333,May,20.0,5.0,0.0,15.0,205015,53.6971875,50.47625000000001,48.9259375,59.16250000000002,1014.75,61.03125,2.75,11.4296875,0.0
74,3: Wednesday (W-W),00: All Day (12am-12am),82.26666667,May,20.0,5.0,3.0,-1.0,2053-1,49.03135922,46.01805825,44.69737864,54.19339806,1019.912621,65.63106796,0.0,7.618543689,0.0
75,3: Wednesday (W-W),05: 4am (4am-5am),64.7,May,20.0,5.0,3.0,4.0,20534,45.01,43.507999999999996,41.745999999999995,48.248,1020.4,78.6,0.0,4.032,0.0
76,3: Wednesday (W-W),13: 12pm (12noon-1pm),99.81666667,May,20.0,5.0,3.0,12.0,205312,46.53,42.5375,43.935,49.9025,1021.25,66.0,0.0,8.254999999999999,0.0
77,5: Friday (F-F),00: All Day (12am-12am),20.68333333,May,20.0,5.0,5.0,-1.0,2055-1,52.33358779,49.78,48.44099237,57.29633588,1012.946565,73.14503817,67.78,10.81175573,0.190608696
78,5: Friday (F-F),16: 3pm (3pm-4pm),20.68333333,May,20.0,5.0,5.0,15.0,205515,55.50833333333333,52.156666666666666,52.02,59.47666666666667,1013.0,63.5,2.04,10.328333333333335,0.0
79,0: All Days (M-Su),00: All Day (12am-12am),22.28333333,May,21.0,5.0,0.0,-1.0,2150-1,51.820943643512436,49.53407601572737,48.39032765399747,55.36238532110083,1016.0183486238532,69.73394495412845,117.92000000000014,7.894508519003932,10.212019704433489
80,0: All Days (M-Su),05: 4am (4am-5am),12.33333333,May,21.0,5.0,0.0,4.0,21504,47.47156249999999,45.04781249999999,44.472812499999996,50.544375,1016.34375,77.1875,2.7800000000000002,5.900624999999999,8.321200000000001
81,0: All Days (M-Su),10: 9am (9am-10am),14.23333333,May,21.0,5.0,0.0,9.0,21509,45.519687499999996,43.02499999999999,42.495,48.575,1016.0625,80.875,3.1899999999999995,5.683437499999999,8.258695652173913
82,0: All Days (M-Su),11: 10am (10am-11am),26.3,May,21.0,5.0,0.0,10.0,215010,46.150312500000005,43.40343750000001,43.35125,49.201249999999995,1016.5,80.5625,9.389999999999999,5.9665625,7.854642857142857
83,0: All Days (M-Su),12: 11am (11am-12noon),19.48333333,May,21.0,5.0,0.0,11.0,215011,48.1232258064516,45.75451612903226,45.86032258064515,50.47548387096775,1016.6451612903226,77.83870967741936,2.33,6.533870967741934,7.613846153846153
84,0: All Days (M-Su),13: 12pm (12noon-1pm),15.53333333,May,21.0,5.0,0.0,12.0,215012,50.45806451612903,47.962258064516135,48.21677419354839,53.01967741935482,1016.7741935483871,74.29032258064517,4.590000000000001,6.556774193548387,8.536923076923078
85,0: All Days (M-Su),14: 1pm (1pm-2pm),25.31666667,May,21.0,5.0,0.0,13.0,215013,53.08032258064515,50.4216129032258,50.131935483870976,56.1941935483871,1016.8387096774194,69.61290322580645,2.42,8.31032258064516,10.442307692307692
86,0: All Days (M-Su),15: 2pm (2pm-3pm),49.81666667,May,21.0,5.0,0.0,14.0,215014,55.239374999999995,53.1509375,51.6090625,59.044999999999995,1016.78125,65.46875,8.24,8.31,11.573103448275864
87,0: All Days (M-Su),16: 3pm (3pm-4pm),29.5,May,21.0,5.0,0.0,15.0,215015,56.96645161290322,54.90193548387097,52.59548387096774,61.20032258064516,1016.5806451612904,61.354838709677416,7.710000000000001,9.719354838709675,13.2696
88,0: All Days (M-Su),17: 4pm (4pm-5pm),21.01666667,May,21.0,5.0,0.0,16.0,215016,57.99290322580646,56.07161290322581,53.20903225806451,62.67548387096776,1016.4193548387096,57.903225806451616,5.43,8.79258064516129,12.515384615384615
89,0: All Days (M-Su),18: 5pm (5pm-6pm),14.33333333,May,21.0,5.0,0.0,17.0,215017,58.530645161290316,56.64645161290323,53.15548387096774,63.81032258064516,1016.0322580645161,57.74193548387097,4.880000000000001,9.766129032258064,11.4784
90,0: All Days (M-Su),19: 6pm (6pm-7pm),22.9,May,21.0,5.0,0.0,18.0,215018,58.35666666666666,56.3960606060606,53.866666666666674,62.791515151515135,1015.5151515151515,58.93939393939394,4.68,10.016666666666667,11.283333333333333
91,0: All Days (M-Su),06: 5am (5am-6am),17.03333333,May,21.0,5.0,0.0,5.0,21505,47.05718750000001,44.75125,44.14125000000001,50.06750000000002,1016.3125,78.0625,1.51,5.853125,7.6952173913043485
92,0: All Days (M-Su),07: 6am (6am-7am),24.46666667,May,21.0,5.0,0.0,6.0,21506,46.63645161290322,44.44387096774194,43.684516129032254,49.66806451612905,1016.0322580645161,77.45161290322581,3.4099999999999997,5.5364516129032255,6.9552173913043465
93,0: All Days (M-Su),09: 8am (8am-9am),10.03333333,May,21.0,5.0,0.0,8.0,21508,45.9267741935484,43.168064516129036,42.831935483870964,49.092580645161284,1015.741935483871,78.83870967741936,7.989999999999999,6.026451612903226,8.3576
94,0: All Days (M-Su),04: 3am (3am-4am),4.316666667,May,21.0,5.0,0.0,3.0,21503,47.8328125,45.15656250000001,45.13000000000002,50.82875,1015.59375,76.25,4.42,6.7284375,9.679090909090911
95,0: All Days (M-Su),08: 7am (7am-8am),1.533333333,May,21.0,5.0,0.0,7.0,21507,46.33218749999999,44.119375,43.349374999999995,49.622187499999995,1015.96875,78.65625,2.14,5.377187499999999,7.913333333333333
96,0: All Days (M-Su),01: 12am (12am-1am),5.9,May,21.0,5.0,0.0,0.0,21500,51.38687500000001,48.948437500000004,48.813437499999985,54.098437499999996,1015.65625,69.0625,8.040000000000001,8.53125,10.210416666666665
97,1: Monday (M-M),00: All Day (12am-12am),31.91666667,May,21.0,5.0,1.0,-1.0,2151-1,51.76854962,49.84778626,48.32641221,55.20374046,1017.847328,70.14503817,45.84,6.662442748,8.408363636
98,1: Monday (M-M),05: 4am (4am-5am),21.36666667,May,21.0,5.0,1.0,4.0,21514,48.416666666666664,45.336666666666666,45.435,50.843333333333334,1018.3333333333334,78.0,0.5,6.655,7.601999999999999
99,1: Monday (M-M),13: 12pm (12noon-1pm),17.31666667,May,21.0,5.0,1.0,12.0,215112,49.476,47.754000000000005,47.576,52.044000000000004,1018.8,70.6,2.45,4.338,6.75
