Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),15: 2pm (2pm-3pm),181,0.161,0.136,0.136,0.167,0.136,0.091,0.040,0.062,0.071,0.099,0.309,0.284,0.173,0.135,0.777,0.127,0.006,0.033,0.000,0.036,0.021,0.081,0.286,0.714,0.116,0.218,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),16: 3pm (3pm-4pm),88,0.160,0.151,0.120,0.173,0.104,0.106,0.063,0.057,0.066,0.092,0.351,0.250,0.188,0.119,0.918,0.006,0.011,0.036,0.000,0.009,0.020,0.026,0.345,0.655,0.156,0.254,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),17: 4pm (4pm-5pm),37,0.127,0.101,0.087,0.155,0.122,0.140,0.099,0.102,0.067,0.055,0.258,0.283,0.231,0.173,0.928,0.019,0.001,0.035,0.000,0.007,0.010,0.034,0.400,0.600,0.119,0.331,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),18: 5pm (5pm-6pm),56,0.047,0.094,0.146,0.217,0.148,0.076,0.084,0.073,0.115,0.057,0.285,0.290,0.195,0.173,0.968,0.003,0.004,0.019,0.000,0.000,0.006,0.004,0.330,0.670,0.131,0.249,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),19: 6pm (6pm-7pm),71,0.183,0.160,0.215,0.134,0.090,0.085,0.034,0.053,0.046,0.049,0.393,0.284,0.142,0.132,0.935,0.012,0.005,0.022,0.000,0.007,0.019,0.022,0.284,0.716,0.122,0.218,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),20: 7pm (7pm-8pm),26,0.100,0.123,0.097,0.079,0.112,0.130,0.097,0.110,0.152,0.058,0.195,0.214,0.303,0.230,0.904,0.017,0.003,0.055,0.000,0.014,0.007,0.076,0.312,0.688,0.105,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),21: 8pm (8pm-9pm),22,0.072,0.081,0.083,0.142,0.107,0.094,0.150,0.109,0.162,0.036,0.231,0.236,0.278,0.219,0.895,0.030,0.000,0.060,0.000,0.012,0.003,0.032,0.385,0.615,0.082,0.352,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),23: 10pm (10pm-11pm),15,0.048,0.162,0.098,0.223,0.149,0.138,0.106,0.075,0.001,0.113,0.332,0.290,0.166,0.099,0.906,0.017,0.022,0.027,0.000,0.009,0.019,0.040,0.238,0.762,0.099,0.170,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),24: 11pm (11pm-12am),30,0.101,0.097,0.072,0.155,0.128,0.154,0.087,0.108,0.098,0.075,0.216,0.177,0.209,0.323,0.830,0.018,0.009,0.072,0.000,0.044,0.027,0.058,0.303,0.697,0.111,0.233,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),942,0.115,0.127,0.115,0.192,0.129,0.105,0.061,0.073,0.083,0.108,0.265,0.244,0.225,0.158,0.844,0.036,0.004,0.069,0.000,0.025,0.022,0.087,0.320,0.680,0.131,0.242,0.000,0.000,1.000
